System	Subsystem	Description	BR:MCF7	BR:MDA-MB-231	BR:HS 578T	BR:BT-549	BR:T-47D	CNS:SF-268	CNS:SF-295	CNS:SF-539	CNS:SNB-19	CNS:SNB-75	CNS:U251	CO:COLO 205	CO:HCC-2998	CO:HCT-116	CO:HCT-15	CO:HT29	CO:KM12	CO:SW-620	LE:CCRF-CEM	LE:HL-60(TB)	LE:K-562	LE:MOLT-4	LE:RPMI-8226	LE:SR	ME:LOX IMVI	ME:MALME-3M	ME:M14	ME:SK-MEL-2	ME:SK-MEL-28	ME:SK-MEL-5	ME:UACC-257	ME:UACC-62	ME:MDA-MB-435	LC:A549/ATCC	LC:EKVX	LC:HOP-62	LC:HOP-92	LC:NCI-H226	LC:NCI-H23	LC:NCI-H322M	LC:NCI-H460	LC:NCI-H522	OV:IGROV1	OV:OVCAR-3	OV:OVCAR-4	OV:OVCAR-5	OV:OVCAR-8	OV:SK-OV-3	OV:NCI/ADR-RES	PR:PC-3	PR:DU-145	RE:786-0	RE:A498	RE:ACHN	RE:CAKI-1	RE:RXF 393	RE:SN12C	RE:TK-10	RE:UO-31	Lung metastasis	Brain metastasis	Breast Cancer
AMINO ACIDS METABOLISM	ASPARAGINE METABOLISM	Asparagine synthesis	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
AMINO ACIDS METABOLISM	ASPARAGINE METABOLISM	Asparagine degradation	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
AMINO ACIDS METABOLISM	ASPARTATE METABOLISM	Aspartate synthesis	1000	0	1000	1000	1000	1000	0.000000501973925075262	1000	1000	1000	0.00000289195191616994	1000	0	1000	1000	1000	1000	1000	0.000978450392865622	1000	0.000000099035254127394	1000	0.000000604708454163168	1000	1000	1000	0	1000	0.000000454062854413479	1000	1000	1000	1000	0.000000165926183498514	0.000000079782595312986	0	0.000000687690067867746	0.00000000118379548983268	0	0	1000	1000	1000	1000	1000	1000	1000	0.000000000175931415297716	1000	1000	0.00000000143885945214796	1000	1000	0	0.000000141906685503157	0.00000016075722062188	0.0000158713953358627	0	0.000000951719204294304	1000	1000	1000
AMINO ACIDS METABOLISM	ASPARTATE METABOLISM	Aspartate degradation	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
AMINO ACIDS METABOLISM	ASPARTATE METABOLISM	Conversion of aspartate to arginine	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
AMINO ACIDS METABOLISM	ASPARTATE METABOLISM	Conversion of aspartate to beta-alanine	0	0	0	1000	0	0	0	0	0	0.0430723310023227	0	0	0	0	0	0	0	1000	0	0	0	1000	0	0	0	0	0	1000	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	1000	0	0	1000	0	0	0	1000	1000	1000
AMINO ACIDS METABOLISM	ASPARTATE METABOLISM	Conversion of asparate to asparagine	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
AMINO ACIDS METABOLISM	BETA-ALANINE METABOLISM	beta-Alanine synthesis	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	1000	0	0	0	0	0	1000	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	1000	0	0	1000	0	0	0	1000	1000	1000
AMINO ACIDS METABOLISM	BETA-ALANINE METABOLISM	beta-Alanine degradation	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
AMINO ACIDS METABOLISM	BETA-ALANINE METABOLISM	Beta-alanine to 3-oxopropanoate	1000	0	0	0	1000	0	0	0	0	0	0	1000	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0.0000232844330659577	0	0	0	0	1000	1000	0	0	1000	0	0	0	0	1000	0	0	0	0	0	0.0436543491605402	1000	1000	1000	0
